Disease,Disease_id,Gene,Gene_id,UniProt,Gene_Full_Name,Protein_Class,N_diseases_g,DSI_g,DPI_g,pLI,Score_gda,EL_gda,EI_gda,N_PMIDs,N_SNPs_gda,First_Ref,Last_Ref
Rheumatoid Arthritis,C0003873,IRF5,3663,Q13568,interferon regulatory factor 5,Transcription factor,226,0.489,0.731,0.0090365,0.5,,0.906,32,6,2006,2019
Rheumatoid Arthritis,C0003873,CIITA,4261,P33076,class II major histocompatibility complex transactivator,,149,0.536,0.808,1.36E-07,0.5,,0.533,15,3,2006,2017
Rheumatoid Arthritis,C0003873,STAT4,6775,Q14765,signal transducer and activator of transcription 4,Nucleic acid binding,316,0.471,0.769,0.7662,0.5,,0.889,63,9,2000,2019
Rheumatoid Arthritis,C0003873,TNFAIP3,7128,P21580,TNF alpha induced protein 3,Enzyme,212,0.481,0.808,0.99972,0.5,,1,35,8,2007,2018
Rheumatoid Arthritis,C0003873,TRAF1,7185,Q13077,TNF receptor associated factor 1,Signaling,119,0.554,0.731,0.0035639,0.5,,0.85,40,3,2007,2019
Rheumatoid Arthritis,C0003873,TRAF6,7189,Q9Y4K3,TNF receptor associated factor 6,Signaling,254,0.472,0.808,0.99739,0.5,,1,13,1,2008,2019
Rheumatoid Arthritis,C0003873,CD28,940,P10747,CD28 molecule,,364,0.436,0.885,0.35779,0.5,,1,36,2,1996,2018
Rheumatoid Arthritis,C0003873,CD40,958,P25942,CD40 molecule,,528,0.396,0.846,0.84603,0.5,,0.848,33,5,2002,2019
Rheumatoid Arthritis,C0003873,PTPN2,5771,P17706,protein tyrosine phosphatase non-receptor type 2,,134,0.538,0.692,0.99953,0.49,,1,13,4,2012,2019
Rheumatoid Arthritis,C0003873,TYK2,7297,P29597,tyrosine kinase 2,Kinase,172,0.505,0.769,4.50E-08,0.49,,1,15,3,2007,2019
Rheumatoid Arthritis,C0003873,RUNX1,861,Q01196,RUNX family transcription factor 1,Transcription factor,412,0.425,0.808,0.65377,0.49,,0.786,14,4,2003,2019
Rheumatoid Arthritis,C0003873,PTPRC,5788,P08575,protein tyrosine phosphatase receptor type C,Enzyme,366,0.435,0.808,1,0.48,,1,10,1,1991,2017
Rheumatoid Arthritis,C0003873,AGER,177,Q15109,advanced glycosylation end-product specific receptor,Receptor,450,0.42,0.885,6.35E-16,0.47,,1,10,5,2002,2014
Rheumatoid Arthritis,C0003873,IL2RB,3560,P14784,interleukin 2 receptor subunit beta,Receptor,226,0.491,0.846,0.29095,0.47,,0.909,11,4,1992,2019
Rheumatoid Arthritis,C0003873,NFKBIL1,4795,Q9UBC1,NFKB inhibitor like 1,,41,0.653,0.615,0.025515,0.47,,1,10,4,2001,2011
Rheumatoid Arthritis,C0003873,AFF3,3899,P51826,AF4/FMR2 family member 3,Transcription factor,77,0.623,0.692,0.99996,0.46,,1,11,5,2009,2016
Rheumatoid Arthritis,C0003873,REL,5966,Q04864,"REL proto-oncogene, NF-kB subunit",Transcription factor,90,0.579,0.692,0.99836,0.46,,0.909,11,2,2009,2019
Rheumatoid Arthritis,C0003873,BLK,640,P51451,"BLK proto-oncogene, Src family tyrosine kinase",Kinase,86,0.585,0.769,8.35E-14,0.46,,1,9,3,2009,2016
Rheumatoid Arthritis,C0003873,CDK6,1021,Q00534,cyclin dependent kinase 6,Kinase,266,0.471,0.731,0.98315,0.44,,0.714,7,2,2008,2019
Rheumatoid Arthritis,C0003873,CD244,51744,Q9BZW8,CD244 molecule,,42,0.653,0.5,0.057288,0.44,,0.5,4,2,2008,2011
Rheumatoid Arthritis,C0003873,MMEL1,79258,Q495T6,membrane metalloendopeptidase like 1,Enzyme,74,0.606,0.692,1.24E-22,0.44,,0.909,11,5,2008,2019
Rheumatoid Arthritis,C0003873,ANKRD55,79722,Q3KP44,ankyrin repeat domain 55,,46,0.65,0.462,6.76E-08,0.44,,1,11,3,2010,2019
Rheumatoid Arthritis,C0003873,GATA3,2625,P23771,GATA binding protein 3,,429,0.415,0.846,0.89887,0.43,,1,7,3,2005,2019
Rheumatoid Arthritis,C0003873,NFKBIE,4794,O00221,NFKB inhibitor epsilon,,26,0.7,0.385,0.77098,0.42,,1,3,2,2012,2016
Rheumatoid Arthritis,C0003873,PLD4,122618,Q96BZ4,phospholipase D family member 4,,12,0.78,0.5,7.73E-13,0.41,,1,3,2,2012,2018
Rheumatoid Arthritis,C0003873,DNASE1L3,1776,Q13609,deoxyribonuclease 1 like 3,,126,0.575,0.769,0.000030012,0.41,,1,4,1,2012,2019
Rheumatoid Arthritis,C0003873,KIF5A,3798,Q12840,kinesin family member 5A,Cellular structure,112,0.593,0.731,0.99995,0.41,,1,4,1,2008,2014
Rheumatoid Arthritis,C0003873,ARID5B,84159,Q14865,AT-rich interaction domain 5B,Transcription factor,56,0.638,0.5,1,0.41,,1,6,3,2012,2019
Rheumatoid Arthritis,C0003873,RASGRP1,10125,O95267,RAS guanyl releasing protein 1,Enzyme modulator,110,0.572,0.731,0.96554,0.4,,1,4,2,2012,2019
Rheumatoid Arthritis,C0003873,CSF2,1437,P04141,colony stimulating factor 2,Signaling,1028,0.33,0.962,0.83468,0.4,,1,39,0,1989,2019
Rheumatoid Arthritis,C0003873,CTLA4,1493,P16410,cytotoxic T-lymphocyte associated protein 4,,722,0.369,0.923,0.94085,0.4,,0.931,58,3,1998,2019
Rheumatoid Arthritis,C0003873,ACAN,176,P16112,aggrecan,Extracellular structure,187,0.528,0.846,1,0.4,,1,12,0,1998,2019
Rheumatoid Arthritis,C0003873,RCAN1,1827,P53805,regulator of calcineurin 1,Signaling,110,0.572,0.808,0.016675,0.4,,1,2,2,2012,2019
Rheumatoid Arthritis,C0003873,AHR,196,P35869,aryl hydrocarbon receptor,Transcription factor,532,0.41,0.923,0.99999,0.4,,0.929,14,1,2008,2020
Rheumatoid Arthritis,C0003873,SPRED2,200734,Q7Z698,sprouty related EVH1 domain containing 2,Receptor,38,0.711,0.577,2.87E-07,0.4,,1,7,6,2010,2019
Rheumatoid Arthritis,C0003873,ENO1,2023,P06733,enolase 1,Enzyme,231,0.481,0.885,0.00001914,0.4,,0.905,21,0,2008,2019
Rheumatoid Arthritis,C0003873,ANXA3,306,P12429,annexin A3,,66,0.61,0.615,6.52E-12,0.4,,1,1,1,2012,2012
Rheumatoid Arthritis,C0003873,HLA-DQA2,3118,P01906,"major histocompatibility complex, class II, DQ alpha 2",Immune response,58,0.617,0.769,0.000010089,0.4,,1,4,15,2007,2011
Rheumatoid Arthritis,C0003873,IFNG,3458,P01579,interferon gamma,,1519,0.288,0.962,0.47156,0.4,,0.947,76,2,1990,2020
Rheumatoid Arthritis,C0003873,CCN1,3491,O00622,cellular communication network factor 1,Signaling,246,0.473,0.731,0.71388,0.4,,0.929,14,0,2006,2019
Rheumatoid Arthritis,C0003873,IL1B,3553,P01584,interleukin 1 beta,,1801,0.276,0.962,0.13005,0.4,,0.976,247,1,1989,2020
Rheumatoid Arthritis,C0003873,IL1RN,3557,P18510,interleukin 1 receptor antagonist,,701,0.373,0.923,0.030914,0.4,,0.947,57,1,1992,2020
Rheumatoid Arthritis,C0003873,IL6,3569,P05231,interleukin 6,,2367,0.248,0.962,0.31536,0.4,,0.976,369,3,1988,2020
Rheumatoid Arthritis,C0003873,CXCL8,3576,P10145,C-X-C motif chemokine ligand 8,Signaling,1254,0.31,0.962,0.00027377,0.4,,0.968,93,0,1990,2020
Rheumatoid Arthritis,C0003873,IL18,3606,Q14116,interleukin 18,,750,0.365,0.923,0.030717,0.4,,0.917,48,4,1999,2019
Rheumatoid Arthritis,C0003873,MIF,4282,P14174,macrophage migration inhibitory factor,,455,0.412,0.885,0.012262,0.4,,0.895,19,2,1999,2020
Rheumatoid Arthritis,C0003873,MMP2,4313,P08253,matrix metallopeptidase 2,Enzyme,1021,0.333,0.923,0.83878,0.4,,0.923,26,1,1998,2019
Rheumatoid Arthritis,C0003873,MPO,4353,P05164,myeloperoxidase,Enzyme,653,0.377,0.923,7.11E-15,0.4,,1,13,0,2012,2020
Rheumatoid Arthritis,C0003873,MTHFR,4524,P42898,methylenetetrahydrofolate reductase,,985,0.337,0.885,3.21E-10,0.4,,0.923,52,6,2001,2018
Rheumatoid Arthritis,C0003873,NCF2,4688,P19878,neutrophil cytosolic factor 2,Enzyme,90,0.601,0.692,4.01E-07,0.4,,1,3,1,2003,2019
Rheumatoid Arthritis,C0003873,TNFRSF11B,4982,O00300,TNF receptor superfamily member 11b,,443,0.422,0.808,0.16171,0.4,,0.929,42,5,2001,2019
Rheumatoid Arthritis,C0003873,FOXP3,50943,Q9BZS1,forkhead box P3,,688,0.368,0.846,0.99424,0.4,,0.973,37,1,2005,2020
Rheumatoid Arthritis,C0003873,IL23A,51561,Q9NPF7,interleukin 23 subunit alpha,Signaling,427,0.415,0.846,0.35806,0.4,,1,36,0,1989,2020
Rheumatoid Arthritis,C0003873,ABCB1,5243,P08183,ATP binding cassette subfamily B member 1,Transporter,933,0.344,0.885,0.000012564,0.4,,0.95,20,1,1995,2020
Rheumatoid Arthritis,C0003873,PON1,5444,P27169,paraoxonase 1,,496,0.409,0.885,9.81E-11,0.4,,0.917,12,2,2003,2019
Rheumatoid Arthritis,C0003873,PTGS2,5743,P35354,prostaglandin-endoperoxide synthase 2,Enzyme,1234,0.314,0.962,0.99597,0.4,,0.952,42,0,1994,2019
Rheumatoid Arthritis,C0003873,CCL21,6366,O00585,C-C motif chemokine ligand 21,Signaling,186,0.502,0.769,0.036239,0.4,,0.857,14,2,2003,2019
Rheumatoid Arthritis,C0003873,SLC11A1,6556,P49279,solute carrier family 11 member 1,Transporter,141,0.525,0.846,1.55E-19,0.4,,0.938,16,6,1996,2019
Rheumatoid Arthritis,C0003873,STAT1,6772,P42224,signal transducer and activator of transcription 1,Nucleic acid binding,531,0.399,0.885,0.99999,0.4,,0.867,15,0,2003,2019
Rheumatoid Arthritis,C0003873,TLR2,7097,O60603,toll like receptor 2,,749,0.361,0.923,1.02E-06,0.4,,0.966,29,2,2003,2019
Rheumatoid Arthritis,C0003873,VEGFA,7422,P15692,vascular endothelial growth factor A,Signaling,1899,0.266,0.923,0.000024085,0.4,,0.987,75,7,1994,2020
Rheumatoid Arthritis,C0003873,CXCR4,7852,P61073,C-X-C motif chemokine receptor 4,G-protein coupled receptor,739,0.362,0.923,0.017804,0.4,,0.944,18,0,2000,2019
Rheumatoid Arthritis,C0003873,CAT,847,P04040,catalase,Enzyme,794,0.359,0.962,1.63E-10,0.4,,0.917,12,0,2006,2019
Rheumatoid Arthritis,C0003873,ADIPOQ,9370,Q15848,"adiponectin, C1Q and collagen domain containing",,679,0.376,0.885,4.64E-09,0.4,,0.957,23,4,2003,2020
Rheumatoid Arthritis,C0003873,CCN2,1490,P29279,cellular communication network factor 2,Signaling,518,0.399,0.846,0.00050202,0.39,,1,10,0,2006,2020
Rheumatoid Arthritis,C0003873,TNFSF14,8740,O43557,TNF superfamily member 14,Signaling,143,0.529,0.769,0.051663,0.39,,1,10,0,2003,2017
Rheumatoid Arthritis,C0003873,DHFR,1719,P00374,dihydrofolate reductase,Enzyme,191,0.513,0.808,0.0343,0.38,,0.889,9,0,2003,2019
Rheumatoid Arthritis,C0003873,TNFRSF14,8764,Q92956,TNF receptor superfamily member 14,,100,0.568,0.731,0.80752,0.38,,0.889,9,0,2003,2017
Rheumatoid Arthritis,C0003873,TAGAP,117289,Q8N103,T cell activation RhoGTPase activating protein,Enzyme modulator,24,0.7,0.462,0.84621,0.37,,1,9,2,2010,2018
Rheumatoid Arthritis,C0003873,IRAK1,3654,P51617,interleukin 1 receptor associated kinase 1,Kinase,200,0.506,0.808,0.98774,0.36,,0.857,7,3,2008,2018
Rheumatoid Arthritis,C0003873,COL2A1,1280,P02458,collagen type II alpha 1 chain,,496,0.444,0.846,1,0.35,,0.857,7,0,1993,2018
Rheumatoid Arthritis,C0003873,ALOX5,240,P09917,arachidonate 5-lipoxygenase,Enzyme,342,0.447,0.885,1.21E-06,0.35,,1,6,0,1995,2017
Rheumatoid Arthritis,C0003873,GC,2638,P02774,GC vitamin D binding protein,Transporter,219,0.489,0.885,2.73E-11,0.35,,0.8,5,1,1985,2019
Rheumatoid Arthritis,C0003873,HOXD13,3239,P35453,homeobox D13,,259,0.483,0.808,0.0086055,0.35,,1,6,0,1997,2019
Rheumatoid Arthritis,C0003873,NCF1,653361,P14598,neutrophil cytosolic factor 1,,170,0.521,0.808,0.000028311,0.35,,1,7,1,2003,2018
Rheumatoid Arthritis,C0003873,TXNDC5,81567,Q8NBS9,thioredoxin domain containing 5,,65,0.615,0.577,4.87E-13,0.35,,1,6,2,2011,2018
Rheumatoid Arthritis,C0003873,GRK2,156,P25098,G protein-coupled receptor kinase 2,Kinase,159,0.532,0.654,0.99998,0.34,,1,4,0,1999,2019
Rheumatoid Arthritis,C0003873,FPGS,2356,Q05932,folylpolyglutamate synthase,Enzyme,40,0.644,0.423,1.16E-06,0.34,,1,5,3,2007,2020
Rheumatoid Arthritis,C0003873,IGFBP3,3486,P17936,insulin like growth factor binding protein 3,Enzyme modulator,350,0.439,0.808,0.91029,0.34,,0.75,4,0,2007,2019
Rheumatoid Arthritis,C0003873,FASLG,356,P48023,Fas ligand,Signaling,398,0.43,0.885,0.18345,0.34,,1,5,2,2008,2015
Rheumatoid Arthritis,C0003873,ATIC,471,P31939,5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase,Enzyme,100,0.576,0.731,3.01E-19,0.34,,1,5,1,2004,2016
Rheumatoid Arthritis,C0003873,PRKCQ,5588,Q04759,protein kinase C theta,Kinase,53,0.636,0.654,0.2972,0.34,,1,7,0,2008,2019
Rheumatoid Arthritis,C0003873,PTGS1,5742,P23219,prostaglandin-endoperoxide synthase 1,Enzyme,318,0.46,0.885,6.24E-07,0.34,,1,4,0,1994,2004
Rheumatoid Arthritis,C0003873,CCL8,6355,P80075,C-C motif chemokine ligand 8,Signaling,115,0.546,0.692,0.041412,0.34,,1,5,0,2007,2019
Rheumatoid Arthritis,C0003873,SOD2,6648,P04179,superoxide dismutase 2,Enzyme,668,0.379,0.923,0.15499,0.34,,0.714,7,1,2000,2019
Rheumatoid Arthritis,C0003873,GGH,8836,Q92820,gamma-glutamyl hydrolase,Enzyme,66,0.608,0.5,0.58132,0.34,,1,5,3,2004,2020
Rheumatoid Arthritis,C0003873,B3GNT2,10678,Q9NY97,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2",Enzyme,20,0.705,0.5,0.88722,0.33,,1,3,0,1988,2013
Rheumatoid Arthritis,C0003873,CP,1356,P00450,ceruloplasmin,Enzyme,283,0.466,0.846,4.20E-10,0.33,,1,4,0,2002,2018
Rheumatoid Arthritis,C0003873,PLB1,151056,Q6P1J6,phospholipase B1,,219,0.488,0.846,1.73E-72,0.33,,1,3,0,2004,2014
Rheumatoid Arthritis,C0003873,MMP12,4321,P39900,matrix metallopeptidase 12,Enzyme,216,0.484,0.885,,0.33,,1,4,1,2003,2009
Rheumatoid Arthritis,C0003873,ACKR3,57007,P25106,atypical chemokine receptor 3,G-protein coupled receptor,400,0.428,0.885,0.39134,0.33,,1,4,0,1999,2010
Rheumatoid Arthritis,C0003873,PRDM1,639,O75626,PR/SET domain 1,,126,0.538,0.731,0.9565,0.33,,0.833,6,0,2009,2019
Rheumatoid Arthritis,C0003873,CD83,9308,Q01151,CD83 molecule,,96,0.566,0.731,0.0052136,0.33,,0.75,4,0,2003,2017
Rheumatoid Arthritis,C0003873,ADORA2A,135,P29274,adenosine A2a receptor,G-protein coupled receptor,213,0.526,0.769,0.5971,0.32,,1,3,1,2009,2019
Rheumatoid Arthritis,C0003873,CLEC12A,160364,Q5QGZ9,C-type lectin domain family 12 member A,,34,0.686,0.346,2.60E-07,0.32,,0.667,3,0,2007,2016
Rheumatoid Arthritis,C0003873,IKZF3,22806,Q9UKT9,IKAROS family zinc finger 3,Transcription factor,64,0.608,0.692,0.98416,0.32,,1,3,0,2012,2016
Rheumatoid Arthritis,C0003873,FKBP5,2289,Q13451,FKBP prolyl isomerase 5,Enzyme,179,0.524,0.769,0.73393,0.32,,1,3,0,2003,2017
Rheumatoid Arthritis,C0003873,CXCL2,2920,P19875,C-X-C motif chemokine ligand 2,Signaling,186,0.513,0.885,3.61E-07,0.32,,1,3,0,2004,2017
Rheumatoid Arthritis,C0003873,HSD11B1,3290,P28845,hydroxysteroid 11-beta dehydrogenase 1,,163,0.52,0.731,0.41696,0.32,,1,3,0,2009,2018
Rheumatoid Arthritis,C0003873,RBPJ,3516,Q06330,recombination signal binding protein for immunoglobulin kappa J region,Nucleic acid binding,161,0.518,0.808,0.99853,0.32,,1,4,0,2010,2016
Rheumatoid Arthritis,C0003873,STS,412,P08842,steroid sulfatase,Enzyme,382,0.431,0.846,0.80886,0.32,,1,3,0,2005,2019
Rheumatoid Arthritis,C0003873,MMP10,4319,P09238,matrix metallopeptidase 10,Enzyme,123,0.553,0.808,5.91E-15,0.32,,1,3,0,1989,2009
Rheumatoid Arthritis,C0003873,BGN,633,P21810,biglycan,,253,0.484,0.808,0.45229,0.32,,1,3,0,2004,2018
Rheumatoid Arthritis,C0003873,BMP4,652,P12644,bone morphogenetic protein 4,Signaling,423,0.422,0.808,0.9564,0.32,,1,3,0,2006,2019
Rheumatoid Arthritis,C0003873,SMS,6611,P52788,spermine synthase,,263,0.491,0.846,0.97297,0.32,,1,3,0,1998,2017
Rheumatoid Arthritis,C0003873,ABCC5,10057,O15440,ATP binding cassette subfamily C member 5,Transporter,71,0.606,0.654,0.0041518,0.31,,1,1,0,2013,2013
Rheumatoid Arthritis,C0003873,ABCC4,10257,O15439,ATP binding cassette subfamily C member 4,Transporter,146,0.536,0.769,1.07E-07,0.31,,1,2,1,2013,2017
Rheumatoid Arthritis,C0003873,CTSD,1509,P07339,cathepsin D,Enzyme,242,0.478,0.846,0.00091747,0.31,,1,2,0,1995,2003
Rheumatoid Arthritis,C0003873,DDX6,1656,P26196,DEAD-box helicase 6,,52,0.663,0.385,0.99964,0.31,,1,2,0,2012,2017
Rheumatoid Arthritis,C0003873,GRK6,2870,P43250,G protein-coupled receptor kinase 6,Kinase,51,0.67,0.654,0.00048726,0.31,,1,1,0,1999,1999
Rheumatoid Arthritis,C0003873,HCLS1,3059,P14317,hematopoietic cell-specific Lyn substrate 1,Cellular structure,132,0.539,0.846,1.32E-06,0.31,,1,2,0,1992,2003
Rheumatoid Arthritis,C0003873,HOXD10,3236,P28358,homeobox D10,,83,0.59,0.538,0.062918,0.31,,1,2,0,2007,2018
Rheumatoid Arthritis,C0003873,PXK,54899,Q7Z7A4,PX domain containing serine/threonine kinase like,Kinase,13,0.821,0.231,0.010847,0.31,,1,2,0,2010,2017
Rheumatoid Arthritis,C0003873,BCL2A1,597,Q16548,BCL2 related protein A1,Signaling,150,0.529,0.731,0.20785,0.31,,1,2,0,2009,2017
Rheumatoid Arthritis,C0003873,BMP6,654,P22004,bone morphogenetic protein 6,Signaling,137,0.531,0.808,0.75947,0.31,,1,2,0,2003,2010
Rheumatoid Arthritis,C0003873,NR4A3,8013,Q92570,nuclear receptor subfamily 4 group A member 3,Nuclear receptor,186,0.502,0.808,0.9126,0.31,,1,2,0,2002,2009
Rheumatoid Arthritis,C0003873,GDF5,8200,P43026,growth differentiation factor 5,Signaling,238,0.511,0.692,0.67002,0.31,,1,2,0,2008,2008
Rheumatoid Arthritis,C0003873,CAV2,858,P51636,caveolin 2,Enzyme modulator,96,0.575,0.692,0.026973,0.31,,1,1,0,2007,2007
Rheumatoid Arthritis,C0003873,ABCC3,8714,O15438,ATP binding cassette subfamily C member 3,Transporter,160,0.517,0.769,1.21E-26,0.31,,1,2,0,2012,2013
Rheumatoid Arthritis,C0003873,GPRC5A,9052,Q8NFJ5,G protein-coupled receptor class C group 5 member A,G-protein coupled receptor,90,0.579,0.692,6.79E-08,0.31,,1,1,0,2007,2007
Rheumatoid Arthritis,C0003873,CD2,914,P06729,CD2 molecule,,50,0.641,0.577,0.47108,0.31,,1,2,0,2012,2017
Rheumatoid Arthritis,C0003873,LHX2,9355,P50458,LIM homeobox 2,Nucleic acid binding,39,0.678,0.615,0.98812,0.31,,1,1,0,2007,2007
Rheumatoid Arthritis,C0003873,MAB21L2,10586,Q9Y586,mab-21 like 2,,22,0.743,0.308,0.43769,0.3,,1,1,0,2007,2007
Rheumatoid Arthritis,C0003873,TXNIP,10628,Q9H3M7,thioredoxin interacting protein,,208,0.49,0.731,0.15918,0.3,,1,1,0,2009,2009
Rheumatoid Arthritis,C0003873,ABCC2,1244,Q92887,ATP binding cassette subfamily C member 2,Transporter,254,0.483,0.808,5.20E-47,0.3,,1,1,0,2013,2013
Rheumatoid Arthritis,C0003873,HAPLN1,1404,P10915,hyaluronan and proteoglycan link protein 1,Extracellular structure,36,0.663,0.577,0.60242,0.3,,1,1,0,2007,2007
Rheumatoid Arthritis,C0003873,GSDME,1687,O60443,gasdermin E,,44,0.656,0.423,3.28E-09,0.3,,1,1,0,2007,2007
Rheumatoid Arthritis,C0003873,F2,2147,P00734,"coagulation factor II, thrombin",Enzyme,490,0.415,0.885,0.0011118,0.3,,1,1,0,2015,2015
Rheumatoid Arthritis,C0003873,LY96,23643,Q9Y6Y9,lymphocyte antigen 96,Receptor,54,0.636,0.615,0.000074167,0.3,,1,1,0,2007,2007
Rheumatoid Arthritis,C0003873,GART,2618,P22102,"phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase",Enzyme,48,0.631,0.615,0.00027711,0.3,,1,1,0,2013,2013
Rheumatoid Arthritis,C0003873,RGMB,285704,Q6NW40,repulsive guidance molecule BMP co-receptor b,,24,0.711,0.462,0.071955,0.3,,1,1,0,2007,2007
Rheumatoid Arthritis,C0003873,NR3C1,2908,P04150,nuclear receptor subfamily 3 group C member 1,Nuclear receptor,590,0.393,0.885,0.96958,0.3,,0.889,18,3,2001,2019
Rheumatoid Arthritis,C0003873,HOXD11,3237,P31277,homeobox D11,,45,0.67,0.462,0.0011418,0.3,,1,1,0,2007,2007
Rheumatoid Arthritis,C0003873,IRF8,3394,Q02556,interferon regulatory factor 8,Transcription factor,149,0.539,0.808,0.94807,0.3,,1,1,0,2012,2012
Rheumatoid Arthritis,C0003873,ITGA6,3655,P23229,integrin subunit alpha 6,,137,0.539,0.769,1.90E-07,0.3,,1,1,0,2007,2007
Rheumatoid Arthritis,C0003873,LCN2,3934,P80188,lipocalin 2,Enzyme,497,0.405,0.885,1.14E-09,0.3,,1,1,0,1995,1995
Rheumatoid Arthritis,C0003873,MARCKS,4082,P29966,myristoylated alanine rich protein kinase C substrate,,102,0.559,0.769,0.32648,0.3,,1,1,0,2009,2009
Rheumatoid Arthritis,C0003873,RAB8A,4218,P61006,"RAB8A, member RAS oncogene family",,69,0.61,0.577,0.97543,0.3,,1,1,0,2003,2003
Rheumatoid Arthritis,C0003873,PLEK,5341,P08567,pleckstrin,Cellular structure,83,0.588,0.731,0.001067,0.3,,1,1,0,2003,2003
Rheumatoid Arthritis,C0003873,POU3F1,5453,Q03052,POU class 3 homeobox 1,,25,0.711,0.462,0.56469,0.3,,1,1,0,2012,2012
Rheumatoid Arthritis,C0003873,DDIT4,54541,Q9NX09,DNA damage inducible transcript 4,,92,0.576,0.769,0.00068309,0.3,,1,1,0,2007,2007
Rheumatoid Arthritis,C0003873,GIN1,54826,Q9NXP7,gypsy retrotransposon integrase 1,,4,0.89,0.269,0.000024151,0.3,,1,1,0,2012,2012
Rheumatoid Arthritis,C0003873,BAIAP2L1,55971,Q9UHR4,BAR/IMD domain containing adaptor protein 2 like 1,Receptor,15,0.805,0.308,0.00010429,0.3,,1,1,0,2007,2007
Rheumatoid Arthritis,C0003873,PSG5,5673,Q15238,pregnancy specific beta-1-glycoprotein 5,,61,0.631,0.615,8.82E-22,0.3,,1,1,0,2007,2007
Rheumatoid Arthritis,C0003873,NDUFA4L2,56901,Q9NRX3,NDUFA4 mitochondrial complex associated like 2,Enzyme,19,0.736,0.346,0.086367,0.3,,1,1,0,2009,2009
Rheumatoid Arthritis,C0003873,PTK2,5747,Q05397,protein tyrosine kinase 2,Kinase,205,0.497,0.808,0.99987,0.3,,1,1,0,2003,2003
Rheumatoid Arthritis,C0003873,RAP2A,5911,P10114,"RAP2A, member of RAS oncogene family",Enzyme modulator,19,0.751,0.538,0.85068,0.3,,1,1,0,2003,2003
Rheumatoid Arthritis,C0003873,BDKRB2,624,P30411,bradykinin receptor B2,G-protein coupled receptor,105,0.585,0.808,0.11863,0.3,,1,1,0,2003,2003
Rheumatoid Arthritis,C0003873,CXCL6,6372,P80162,C-X-C motif chemokine ligand 6,Signaling,90,0.582,0.692,2.71E-09,0.3,,1,1,0,2004,2004
Rheumatoid Arthritis,C0003873,TLE3,7090,Q04726,"TLE family member 3, transcriptional corepressor",Transcription factor,38,0.674,0.462,1,0.3,,1,1,0,2012,2012
Rheumatoid Arthritis,C0003873,TMPO,7112,P42166;P42167,thymopoietin,Signaling,58,0.631,0.577,1.55E-07,0.3,,1,1,0,2003,2003
Rheumatoid Arthritis,C0003873,TNFAIP2,7127,Q03169,TNF alpha induced protein 2,Transporter,25,0.711,0.423,0.000082527,0.3,,1,1,0,2009,2009
